-0.20375,-0.81718
-0.18856,-0.81674
-0.17345,-0.81602
-0.15852,-0.81549
-0.14395,-0.81638
-0.1294,-0.81701
-0.11488,-0.81738
-0.10038,-0.81749
-0.085907,-0.81735
-0.071473,-0.81694
-0.05708,-0.81628
-0.042731,-0.81536
-0.028432,-0.81419
-0.014187,-0.81277
-1.49e-16,-0.8111
0.014124,-0.80918
0.028181,-0.80701
0.042167,-0.80459
0.056077,-0.80194
0.069906,-0.79903
0.083652,-0.79589
0.097309,-0.79252
0.11087,-0.7889
0.12434,-0.78506
0.13771,-0.78098
0.15097,-0.77667
0.16329,-0.76822
0.17503,-0.75813
0.18646,-0.74783
0.19757,-0.73734
0.20837,-0.72667
0.21885,-0.71582
0.229,-0.70479
0.23883,-0.69361
0.24833,-0.68227
0.25749,-0.67079
0.26632,-0.65917
0.27585,-0.64987
0.28618,-0.64278
0.29635,-0.63553
0.30635,-0.62812
0.31619,-0.62055
0.32585,-0.61283
0.33534,-0.60496
0.34465,-0.59694
0.35378,-0.58878
0.36273,-0.58049
0.3715,-0.57205
0.38008,-0.56349
0.38848,-0.5548
0.39668,-0.54599
0.4047,-0.53706
0.41253,-0.52801
0.42016,-0.51885
0.42759,-0.50959
0.43483,-0.50022
0.44188,-0.49075
0.44872,-0.48119
0.45536,-0.47154
0.4618,-0.4618
0.47058,-0.45444
0.47933,-0.44698
0.48796,-0.43936
0.49647,-0.43158
0.50486,-0.42363
0.51312,-0.41551
0.52125,-0.40724
0.52924,-0.39881
0.5371,-0.39023
0.54482,-0.38149
0.5524,-0.3726
0.55983,-0.36356
0.56712,-0.35437
0.57425,-0.34504
0.58123,-0.33557
0.58805,-0.32596
0.59472,-0.31622
0.60122,-0.30634
0.60756,-0.29633
0.61373,-0.28619
0.61973,-0.27592
0.62556,-0.26553
0.63173,-0.25524
0.63833,-0.24503
0.64476,-0.23467
0.65103,-0.22417
0.65712,-0.21351
0.66303,-0.20271
0.66876,-0.19176
0.67431,-0.18068
0.67968,-0.16946
0.68485,-0.15811
0.68983,-0.14663
0.69412,-0.13492
0.69636,-0.12279
0.6984,-0.11062
0.70023,-0.09841
0.70184,-0.086175
0.70323,-0.073913
0.70442,-0.061628
0.70538,-0.049325
0.70614,-0.037007
0.70668,-0.024678
0.707,-0.012341
0.70711,-1.7319e-16
